t,water_level
0.0,0.120231054383
0.05,0.120226093169
0.1,0.120315323081
0.15,0.120468464547
0.2,0.120625268587
0.25,0.12075436336
0.3,0.120834526503
0.35,0.120856760906
0.4,0.120828328936
0.45,0.120767030442
0.5,0.120693765704
0.55,0.120635334868
0.6,0.120605727225
0.65,0.120596001235
0.7,0.12059497187
0.75,0.12059809137
0.8,0.120600562647
0.85,0.120597457363
0.9,0.120587783501
0.95,0.120581168836
1.0,0.120586385743
1.05,0.120609168313
1.1,0.120643901332
1.15,0.120682874288
1.2,0.120742700871
1.25,0.120949511562
1.3,0.122009695086
1.35,0.127331212464
1.4,0.137794891339
1.45,0.150259911169
1.5,0.162752696095
1.55,0.175301584052
1.6,0.187568308676
1.65,0.1988999709
1.7,0.208335444908
1.75,0.21584962785
1.8,0.221806308024
1.85,0.22754070383
1.9,0.23253049775
1.95,0.236314871842
2.0,0.238837691822
2.05,0.239914062802
2.1,0.239836309102
2.15,0.238463199993
2.2,0.236086222048
2.25,0.232926133494
2.3,0.229530832507
2.35,0.225832895362
2.4,0.222309616322
2.45,0.219090746483
2.5,0.216052391188
2.55,0.213561959657
2.6,0.211760602617
2.65,0.210085937865
2.7,0.20846807344
2.75,0.206918283714
2.8,0.205275574128
2.85,0.203845162572
2.9,0.202630845128
2.95,0.201477599341
3.0,0.200179903576
