# Region type : patch outflow
#   Faces  : 62
#   Area   : 1.514067e-04
#        Time	sum(rhoPhi)
   0.00119048	0.000000e+00
   0.00258503	-5.919950e-07
   0.00422003	-8.098582e-08
   0.00612753	3.128446e-07
   0.00832115	8.825716e-07
    0.0107729	1.342412e-06
     0.013388	2.032450e-06
    0.0162043	2.569247e-06
    0.0192766	2.699586e-06
    0.0226903	3.963871e-06
    0.0261041	4.955486e-06
    0.0295178	4.756741e-06
    0.0329315	6.476639e-06
    0.0363452	7.221165e-06
    0.0397589	8.130730e-06
    0.0418071	8.801395e-06
    0.0438553	8.805129e-06
    0.0459036	9.818093e-06
    0.0479518	1.039058e-05
         0.05	1.041137e-05
     0.052381	1.028174e-05
    0.0550265	1.060950e-05
    0.0580247	1.251898e-05
    0.0612536	1.292050e-05
     0.064776	1.367537e-05
    0.0679781	1.481546e-05
    0.0711803	1.486709e-05
    0.0743825	1.532569e-05
    0.0775847	1.710566e-05
    0.0807869	1.766890e-05
    0.0839891	1.740761e-05
    0.0871913	1.760738e-05
    0.0903934	1.946419e-05
    0.0935956	1.883670e-05
    0.0967978	1.932222e-05
          0.1	1.992750e-05
     0.102941	1.951933e-05
     0.105709	2.074543e-05
     0.108478	2.117058e-05
     0.111073	2.092709e-05
     0.113668	2.183161e-05
      0.11609	2.206583e-05
     0.118512	2.192984e-05
     0.120934	2.260760e-05
     0.123577	2.306915e-05
     0.126219	2.303731e-05
     0.128861	2.372744e-05
     0.131504	2.388183e-05
     0.134146	2.374211e-05
     0.136788	2.371063e-05
     0.139431	2.469397e-05
     0.142073	2.479646e-05
     0.144715	2.443309e-05
     0.146477	2.501518e-05
     0.148238	2.537031e-05
         0.15	2.531738e-05
     0.151923	2.506934e-05
     0.154013	2.551870e-05
     0.156313	2.598091e-05
     0.158612	2.569099e-05
     0.160493	2.534037e-05
     0.162289	2.506242e-05
     0.164085	2.591656e-05
     0.165881	2.615285e-05
     0.167676	2.570552e-05
     0.169472	2.618423e-05
     0.171079	2.610667e-05
     0.172686	2.582683e-05
     0.174203	2.575922e-05
     0.175721	2.566418e-05
     0.177339	2.610221e-05
     0.178958	2.621664e-05
     0.180576	2.590131e-05
     0.182195	2.558836e-05
     0.183814	2.605171e-05
     0.185432	2.618771e-05
     0.187051	2.581709e-05
      0.18867	2.549068e-05
     0.190086	2.592571e-05
     0.191325	2.596761e-05
     0.192564	2.573820e-05
     0.193627	2.548006e-05
     0.194689	2.528008e-05
     0.195751	2.576450e-05
     0.196813	2.563636e-05
     0.197876	2.541334e-05
     0.198938	2.525361e-05
          0.2	2.508821e-05
     0.201163	2.488130e-05
     0.202384	2.464411e-05
     0.203545	2.523548e-05
     0.204678	2.602118e-05
     0.205811	2.509967e-05
     0.207039	2.492588e-05
     0.208232	2.522145e-05
     0.209361	2.483269e-05
     0.210403	2.430256e-05
     0.211303	2.460995e-05
     0.212126	2.505559e-05
     0.212884	2.442167e-05
     0.213611	2.438799e-05
     0.214339	2.446992e-05
     0.215098	2.447760e-05
     0.215841	2.449623e-05
     0.216567	2.407317e-05
     0.217294	2.400957e-05
     0.218055	2.401900e-05
     0.218853	2.400679e-05
     0.219695	2.397611e-05
     0.220586	2.395069e-05
     0.221567	2.394253e-05
     0.222582	2.396308e-05
     0.223679	2.398259e-05
     0.224824	2.396987e-05
     0.225918	2.314520e-05
     0.226965	2.293410e-05
     0.228012	2.295489e-05
     0.229059	2.303643e-05
     0.230161	2.312728e-05
     0.231328	2.316797e-05
     0.232495	2.219916e-05
     0.233662	2.206145e-05
     0.234829	2.213166e-05
     0.235996	2.216310e-05
     0.237163	2.219610e-05
      0.23833	2.146564e-05
     0.239627	2.111849e-05
     0.240924	2.116686e-05
      0.24222	2.119976e-05
     0.243517	2.119286e-05
     0.244813	2.109482e-05
      0.24611	2.094578e-05
     0.247407	2.026433e-05
     0.248703	1.963329e-05
         0.25	1.966063e-05
     0.251429	1.966683e-05
     0.252995	1.957761e-05
     0.254301	1.946299e-05
     0.255473	1.935288e-05
     0.256586	1.827645e-05
     0.257645	1.809090e-05
     0.258678	1.811886e-05
     0.259662	1.809447e-05
     0.260579	1.806822e-05
     0.261455	1.802306e-05
     0.262311	1.796488e-05
     0.263149	1.692767e-05
     0.263968	1.679090e-05
     0.264768	1.694126e-05
     0.265569	1.672097e-05
      0.26637	1.673874e-05
     0.267171	1.650353e-05
     0.267971	1.631212e-05
     0.268792	1.621050e-05
     0.269614	1.610732e-05
     0.270458	1.593880e-05
     0.271302	1.573333e-05
     0.272171	1.548612e-05
     0.273069	1.522086e-05
     0.273967	1.495282e-05
     0.274897	1.469248e-05
     0.275862	1.444269e-05
     0.276828	1.419713e-05
     0.277793	1.397201e-05
     0.278803	1.375785e-05
     0.279812	1.354684e-05
     0.280821	1.334159e-05
     0.281831	1.313796e-05
      0.28284	1.293316e-05
     0.283913	1.272050e-05
     0.284985	1.248882e-05
     0.286058	1.224888e-05
      0.28713	1.200633e-05
     0.288203	1.176260e-05
     0.289275	1.152081e-05
     0.290348	1.128528e-05
      0.29142	1.105524e-05
     0.292493	1.083449e-05
     0.293565	1.061978e-05
     0.294638	1.041240e-05
      0.29571	1.020891e-05
     0.296783	1.000804e-05
     0.297855	9.808235e-06
     0.298928	9.606761e-06
          0.3	9.404116e-06
      0.30119	9.197936e-06
      0.30251	8.965892e-06
     0.303867	8.706326e-06
     0.305265	8.438100e-06
     0.306662	8.161563e-06
     0.308107	7.885640e-06
     0.309603	7.600834e-06
     0.311099	7.305449e-06
     0.312596	7.008413e-06
     0.314154	6.708469e-06
     0.315713	6.391829e-06
     0.317271	6.069993e-06
     0.318908	5.742769e-06
