t,water_level
0.0,0.11951691596
0.05,0.119514661099
0.1,0.119550221537
0.15,0.119689358415
0.2,0.119893109884
0.25,0.120067276782
0.3,0.120161266932
0.35,0.120185967177
0.4,0.120187961966
0.45,0.12021163362
0.5,0.120270481589
0.55,0.120347911298
0.6,0.120407246491
0.65,0.120410637849
0.7,0.120348847367
0.75,0.120254679694
0.8,0.120178340005
0.85,0.120159926078
0.9,0.12021964139
0.95,0.120339294202
1.0,0.120483243913
1.05,0.120613145503
1.1,0.120705342758
1.15,0.12075718711
1.2,0.120808235727
1.25,0.121018325593
1.3,0.122180574534
1.35,0.127701662359
1.4,0.138516324459
1.45,0.150431073239
1.5,0.162270945936
1.55,0.174271838219
1.6,0.185519548377
1.65,0.196720703313
1.7,0.205569670241
1.75,0.212358815679
1.8,0.21867967539
1.85,0.224336939819
1.9,0.229208414924
1.95,0.23300592979
2.0,0.235806005041
2.05,0.237077471885
2.1,0.237098830061
2.15,0.235976522588
2.2,0.234055841591
2.25,0.231389866017
2.3,0.228131259488
2.35,0.224485928377
2.4,0.221048040317
2.45,0.217766610072
2.5,0.214771115746
2.55,0.212321198553
2.6,0.210374981254
2.65,0.208638038938
2.7,0.207084468084
2.75,0.205471140543
2.8,0.203937720936
2.85,0.202487921024
2.9,0.201221974227
2.95,0.200133663921
3.0,0.199040825148
