# Region type : patch outflow
#   Faces  : 78
#   Area   : 1.987766e-04
#        Time	sum(rhoPhi)
   0.00357143	0.000000e+00
   0.00615079	3.571860e-14
   0.00907407	-7.495689e-07
    0.0113477	-9.455098e-07
    0.0137635	-1.453461e-06
    0.0163518	-1.718983e-06
    0.0191558	-2.028156e-06
    0.0222403	-2.093242e-06
    0.0253247	-2.193416e-06
    0.0284091	-2.200281e-06
    0.0314935	-2.191004e-06
    0.0345779	-2.279068e-06
    0.0376623	-2.210904e-06
    0.0401299	-2.104222e-06
    0.0425974	-2.037075e-06
    0.0450649	-2.010894e-06
    0.0475325	-2.000463e-06
         0.05	-1.990672e-06
    0.0526316	-1.988299e-06
    0.0552632	-2.009624e-06
    0.0580592	-2.064407e-06
    0.0606805	-2.157795e-06
    0.0633018	-4.262081e-06
    0.0657484	-4.518938e-06
    0.0681949	-4.834079e-06
    0.0706414	-5.157924e-06
     0.073088	-4.724660e-06
    0.0755345	-5.809844e-06
    0.0779811	-6.180084e-06
    0.0804276	-5.766882e-06
    0.0828742	-5.470281e-06
    0.0853207	-7.430917e-06
    0.0877673	-7.671824e-06
    0.0902138	-8.000606e-06
    0.0926604	-8.442511e-06
    0.0951069	-8.052756e-06
    0.0975535	-9.185306e-06
          0.1	-9.607674e-06
     0.102381	-9.248120e-06
     0.104762	-8.969444e-06
     0.107143	-1.074460e-05
     0.109524	-1.112944e-05
     0.111905	-1.151369e-05
     0.114286	-1.268516e-05
     0.116518	-1.227933e-05
      0.11875	-1.259815e-05
     0.120982	-1.366473e-05
       0.1234	-1.463515e-05
     0.125818	-1.371986e-05
     0.128237	-1.402171e-05
     0.130655	-1.439269e-05
     0.132804	-1.398494e-05
     0.134954	-1.495144e-05
     0.137103	-1.527594e-05
     0.139253	-1.484332e-05
     0.141044	-1.450970e-05
     0.142835	-1.591790e-05
     0.144626	-1.611753e-05
     0.146418	-1.629286e-05
     0.148209	-1.703004e-05
         0.15	-1.661525e-05
     0.151852	-1.674180e-05
     0.153704	-1.734714e-05
     0.155556	-1.787046e-05
     0.157488	-1.694068e-05
      0.15942	-1.718791e-05
     0.161353	-1.800398e-05
     0.163193	-1.736731e-05
     0.165033	-1.746337e-05
     0.166874	-1.801312e-05
     0.168714	-1.737714e-05
     0.170554	-1.748407e-05
     0.172395	-1.792902e-05
     0.174235	-1.751679e-05
     0.176217	-1.685583e-05
     0.178199	-1.746728e-05
     0.180379	-1.739351e-05
     0.182559	-1.733148e-05
     0.184739	-1.771681e-05
     0.186919	-1.803081e-05
     0.189099	-1.709435e-05
      0.19128	-1.688873e-05
     0.193024	-1.743233e-05
     0.194768	-1.662729e-05
     0.196512	-1.645302e-05
     0.198256	-1.697409e-05
          0.2	-1.612005e-05
     0.201667	-1.597609e-05
     0.203226	-1.627599e-05
     0.204735	-1.564739e-05
     0.206195	-1.486158e-05
     0.207655	-1.532599e-05
     0.209115	-1.496586e-05
     0.210575	-1.441806e-05
     0.212092	-1.397792e-05
     0.213608	-1.453614e-05
      0.21519	-1.429779e-05
     0.216848	-1.349510e-05
     0.218505	-1.379188e-05
     0.220255	-1.359979e-05
     0.222114	-1.297763e-05
     0.223973	-1.235727e-05
     0.225975	-1.175418e-05
     0.227823	-1.117525e-05
     0.229529	-1.173456e-05
     0.231235	-1.166741e-05
     0.232941	-1.060051e-05
     0.234837	-1.101077e-05
     0.236521	-1.064849e-05
     0.238206	-9.796518e-06
     0.239891	-9.959618e-06
     0.241335	-9.743557e-06
     0.242779	-9.075047e-06
     0.244223	-8.417710e-06
     0.245668	-8.707028e-06
     0.246751	-8.402967e-06
     0.247834	-7.890676e-06
     0.248917	-7.464853e-06
         0.25	-7.680686e-06
      0.25119	-7.453337e-06
     0.252475	-6.890425e-06
     0.253759	-6.394046e-06
     0.255081	-6.546701e-06
     0.256263	-6.301802e-06
     0.257329	-5.749492e-06
     0.258345	-5.289168e-06
     0.259314	-5.569764e-06
     0.260283	-5.324871e-06
     0.261252	-4.843729e-06
     0.262245	-4.488230e-06
     0.263189	-4.265788e-06
     0.264087	-4.088059e-06
     0.264963	-3.915675e-06
     0.265861	-3.840836e-06
     0.266784	-3.635132e-06
     0.267761	-3.430282e-06
     0.268768	-3.276058e-06
     0.269809	-3.172463e-06
     0.270927	-3.092092e-06
      0.27209	-3.018758e-06
     0.273304	-2.931232e-06
     0.274575	-2.809774e-06
     0.275913	-1.713679e-06
     0.277251	-1.409549e-06
     0.278673	-1.457459e-06
     0.280095	-1.400949e-06
     0.281626	-1.021143e-06
     0.283039	-8.534616e-07
     0.284453	2.945693e-07
     0.285748	6.146097e-07
     0.287044	5.901370e-07
      0.28834	6.990724e-07
     0.289635	1.596899e-06
     0.290931	1.831289e-06
     0.292226	1.883628e-06
     0.293522	2.124897e-06
     0.294818	2.168748e-06
     0.296113	2.398559e-06
     0.297409	3.192471e-06
     0.298704	3.613494e-06
          0.3	3.734473e-06
     0.301429	3.914593e-06
     0.302816	4.029459e-06
     0.304164	4.164946e-06
     0.305553	4.319799e-06
     0.306942	5.363900e-06
     0.308378	5.765317e-06
     0.309813	5.828387e-06
     0.311248	5.995967e-06
     0.312739	6.134243e-06
     0.314229	7.038949e-06
     0.315784	7.404662e-06
      0.31734	7.413885e-06
     0.318895	7.530334e-06
     0.320532	7.691984e-06
     0.322169	7.851692e-06
     0.323806	8.013560e-06
     0.325347	9.011862e-06
     0.326797	9.530992e-06
     0.328162	9.781317e-06
     0.329527	9.707252e-06
     0.330806	9.804589e-06
     0.332086	1.047779e-05
     0.333366	1.131270e-05
     0.334645	1.099401e-05
     0.335925	1.048463e-05
     0.337204	1.142269e-05
     0.338484	1.177272e-05
     0.339763	1.166410e-05
     0.341043	1.164722e-05
     0.342323	1.165572e-05
     0.343602	1.167409e-05
     0.344882	1.253957e-05
     0.346161	1.291028e-05
     0.347441	1.298774e-05
      0.34872	1.302396e-05
         0.35	1.300412e-05
     0.351429	1.298286e-05
     0.352995	1.296620e-05
     0.354736	1.297385e-05
     0.356477	1.431360e-05
     0.358218	1.442814e-05
     0.359959	1.423230e-05
     0.361627	1.407428e-05
     0.363296	1.400767e-05
     0.364964	1.549604e-05
     0.366633	1.538904e-05
     0.368221	1.506052e-05
     0.369735	1.492388e-05
     0.371248	1.493099e-05
     0.372761	1.603995e-05
     0.374195	1.630619e-05
     0.375713	1.606720e-05
     0.377231	1.584065e-05
     0.378749	1.573089e-05
     0.380267	1.569175e-05
     0.381785	1.570152e-05
     0.383303	1.673412e-05
     0.384821	1.682832e-05
     0.386338	1.680910e-05
     0.387856	1.674656e-05
     0.389374	1.626870e-05
     0.390892	1.655179e-05
      0.39241	1.652307e-05
     0.393928	1.676463e-05
     0.395446	1.709218e-05
     0.396964	1.722341e-05
     0.398482	1.728015e-05
     0.399241	1.739847e-05
          0.4	1.752831e-05
     0.400909	1.768471e-05
     0.401954	1.786179e-05
     0.403125	1.803099e-05
     0.404428	1.817888e-05
     0.405852	1.829688e-05
     0.407323	1.838270e-05
     0.408847	1.843563e-05
     0.410372	1.740726e-05
     0.411957	1.739068e-05
     0.413611	1.769303e-05
     0.415344	1.798007e-05
     0.417168	1.824421e-05
     0.418992	1.714530e-05
     0.420714	1.702302e-05
     0.422437	1.743962e-05
      0.42416	1.769544e-05
     0.426005	1.785219e-05
     0.427851	1.672434e-05
     0.429697	1.658926e-05
     0.431543	1.689556e-05
     0.433388	1.710559e-05
     0.435234	1.727064e-05
      0.43708	1.601823e-05
     0.438926	1.587704e-05
     0.440771	1.620565e-05
     0.442617	1.637227e-05
     0.444463	1.644269e-05
     0.445847	1.519211e-05
     0.447231	1.505511e-05
     0.448616	1.518470e-05
         0.45	1.522917e-05
     0.451563	1.524826e-05
     0.453292	1.522719e-05
     0.455161	1.518711e-05
      0.45711	1.511974e-05
      0.45906	1.414046e-05
     0.461009	1.342104e-05
     0.462959	1.345255e-05
     0.464908	1.353475e-05
     0.466858	1.355668e-05
     0.468699	1.349856e-05
     0.470438	1.205796e-05
     0.472177	1.168173e-05
     0.473916	1.170602e-05
     0.475655	1.176529e-05
     0.477278	1.176496e-05
     0.478901	1.058813e-05
     0.480524	9.251732e-06
     0.482147	9.989759e-06
      0.48377	9.733551e-06
     0.485393	9.143413e-06
     0.487016	8.551320e-06
     0.488639	8.027960e-06
     0.490262	7.515326e-06
     0.491653	8.376460e-06
     0.493044	7.964267e-06
     0.494435	7.290916e-06
     0.495827	7.160947e-06
     0.497218	6.978243e-06
     0.498609	6.323000e-06
          0.5	6.198959e-06
     0.501515	6.035847e-06
     0.502984	5.743681e-06
     0.504454	5.421983e-06
     0.505923	5.092694e-06
     0.507392	4.759621e-06
     0.508861	4.427397e-06
     0.510331	4.106793e-06
       0.5118	3.810503e-06
     0.513269	3.544678e-06
     0.514738	3.305665e-06
     0.516208	3.083814e-06
     0.517677	2.865967e-06
      0.51897	2.640660e-06
     0.520163	2.429917e-06
     0.521311	2.218980e-06
     0.522414	1.998502e-06
     0.523518	1.777167e-06
     0.524621	1.551289e-06
     0.525724	1.317673e-06
     0.526828	1.082400e-06
     0.527881	8.455147e-07
     0.528887	6.188712e-07
     0.529846	4.024360e-07
     0.530806	1.904909e-07
     0.531766	-2.664659e-08
     0.532779	-2.357305e-07
     0.533855	-4.498508e-07
     0.534864	-6.581816e-07
      0.53581	-8.944870e-07
     0.536756	-1.144795e-06
     0.537702	-1.406098e-06
     0.538648	-1.673945e-06
     0.539594	-1.945003e-06
      0.54054	-2.216983e-06
     0.541591	-2.487815e-06
     0.542642	-2.769058e-06
     0.543693	-3.055300e-06
     0.544744	-3.342222e-06
     0.545796	-3.630318e-06
     0.546847	-3.920108e-06
     0.547898	-4.212899e-06
     0.548949	-4.509325e-06
         0.55	-4.809381e-06
     0.551163	-5.112209e-06
     0.552448	-5.429516e-06
     0.553733	-5.767780e-06
     0.555094	-6.115923e-06
     0.556543	-6.474466e-06
     0.557901	-6.845450e-06
     0.559216	-7.211944e-06
     0.560532	-7.567809e-06
     0.561893	-7.914800e-06
     0.563254	-8.258153e-06
     0.564566	-8.596661e-06
     0.565929	-8.924030e-06
     0.567292	-9.246347e-06
     0.568714	-9.563115e-06
     0.570204	-9.878771e-06
     0.571694	-1.019814e-05
     0.573183	-1.051885e-05
     0.574673	-1.083983e-05
     0.576256	-1.116077e-05
      0.57774	-1.148835e-05
     0.579131	-1.181209e-05
     0.580622	-1.212427e-05
     0.582237	-1.243644e-05
     0.584013	-1.275642e-05
     0.585789	-1.309012e-05
     0.587566	-1.343127e-05
     0.589342	-1.377559e-05
     0.590865	-1.412129e-05
     0.592387	-1.444964e-05
      0.59391	-1.476698e-05
     0.595432	-1.507914e-05
     0.596955	-1.538838e-05
     0.598477	-1.569652e-05
          0.6	-1.600393e-05
     0.601667	-1.631076e-05
     0.603226	-1.662738e-05
     0.604785	-1.694387e-05
       0.6064	-1.726102e-05
     0.608015	-1.758489e-05
     0.609629	-1.791420e-05
     0.611244	-1.824795e-05
     0.612859	-1.858486e-05
     0.614407	-1.892335e-05
      0.61589	-1.925666e-05
     0.617311	-1.958015e-05
     0.618673	-1.989109e-05
     0.620035	-2.018795e-05
     0.621397	-2.047508e-05
     0.622759	-2.075555e-05
     0.624121	-2.103109e-05
     0.625559	-2.130304e-05
     0.626997	-2.157803e-05
      0.62853	-2.185469e-05
     0.630064	-2.213853e-05
     0.631725	-2.242666e-05
     0.633386	-2.272461e-05
     0.635048	-2.302749e-05
     0.636709	-2.333011e-05
      0.63837	-2.362931e-05
     0.640032	-2.392194e-05
     0.641693	-2.420570e-05
     0.643355	-2.447888e-05
     0.645016	-2.474056e-05
     0.646677	-2.499040e-05
     0.648339	-2.522873e-05
         0.65	-2.545641e-05
     0.651786	-2.567458e-05
     0.653571	-2.589024e-05
     0.655357	-2.610284e-05
     0.657074	-2.631154e-05
     0.658791	-2.651313e-05
     0.660508	-2.670766e-05
     0.662225	-2.689499e-05
     0.663942	-2.707436e-05
     0.665659	-2.724512e-05
     0.667376	-2.740637e-05
     0.669093	-2.755739e-05
      0.67081	-2.769803e-05
     0.672527	-2.782864e-05
     0.674245	-2.794997e-05
     0.675962	-2.806301e-05
     0.677679	-2.816876e-05
     0.679396	-2.826799e-05
     0.681113	-2.836121e-05
      0.68283	-2.844871e-05
     0.684547	-2.853043e-05
     0.686264	-2.860612e-05
     0.687981	-2.867549e-05
     0.689698	-2.873824e-05
     0.691415	-2.879406e-05
     0.693132	-2.884269e-05
     0.694849	-2.888407e-05
     0.696566	-2.891822e-05
     0.698283	-2.894526e-05
          0.7	-2.896547e-05
     0.701724	-2.897928e-05
     0.703448	-2.898708e-05
     0.705172	-2.898910e-05
     0.706897	-2.898538e-05
     0.708621	-2.897586e-05
     0.710345	-2.896032e-05
     0.712069	-2.893854e-05
     0.713793	-2.891015e-05
     0.715302	-2.887483e-05
      0.71669	-2.883386e-05
     0.717923	-2.878736e-05
     0.719029	-2.873639e-05
     0.720062	-2.868175e-05
     0.721028	-2.862315e-05
     0.721962	-2.856047e-05
     0.722867	-2.849310e-05
     0.723742	-2.842106e-05
     0.724589	-2.834486e-05
     0.725436	-2.826500e-05
     0.726283	-2.818070e-05
     0.727161	-2.809175e-05
      0.72804	-2.799667e-05
     0.728955	-2.789656e-05
     0.729911	-2.779034e-05
     0.730916	-2.767728e-05
     0.731976	-2.755727e-05
     0.733103	-2.743002e-05
     0.734229	-2.729533e-05
     0.735442	-2.715685e-05
     0.736766	-2.701240e-05
     0.738089	-2.686003e-05
     0.739413	-2.670444e-05
     0.740736	-2.654843e-05
     0.742059	-2.639348e-05
     0.743383	-2.624057e-05
     0.744706	-2.609015e-05
      0.74603	-2.594217e-05
     0.747353	-2.579653e-05
     0.748677	-2.565317e-05
         0.75	-2.551204e-05
     0.751351	-2.537310e-05
     0.752703	-2.523489e-05
     0.754054	-2.509732e-05
     0.755405	-2.495991e-05
     0.756757	-2.482183e-05
     0.758108	-2.468261e-05
     0.759417	-2.454173e-05
     0.760726	-2.440046e-05
     0.762035	-2.425762e-05
      0.76326	-2.411228e-05
     0.764485	-2.396773e-05
     0.765669	-2.382188e-05
     0.766852	-2.367509e-05
     0.768036	-2.352559e-05
     0.769266	-2.337178e-05
     0.770495	-2.321023e-05
     0.771778	-2.304100e-05
     0.773122	-2.286115e-05
     0.774536	-2.266784e-05
     0.775951	-2.245874e-05
     0.777454	-2.223678e-05
     0.778957	-2.107547e-05
     0.780576	-2.089706e-05
     0.782195	-2.106505e-05
     0.783813	-2.030463e-05
     0.785432	-1.939212e-05
     0.787051	-1.961290e-05
     0.788669	-1.928266e-05
     0.790288	-1.854315e-05
     0.791907	-1.858461e-05
     0.793525	-1.831292e-05
     0.795144	-1.765201e-05
     0.796763	-1.705445e-05
     0.797842	-1.651686e-05
     0.798921	-1.696173e-05
          0.8	-1.670508e-05
      0.80122	-1.616558e-05
     0.802575	-1.567972e-05
     0.804057	-1.588389e-05
     0.805588	-1.551103e-05
     0.807119	-1.476700e-05
     0.808651	-1.475022e-05
     0.810182	-1.482974e-05
     0.811775	-1.401864e-05
     0.813368	-1.370397e-05
      0.81496	-1.360958e-05
     0.816553	-1.285056e-05
     0.818146	-1.204729e-05
     0.819739	-1.201713e-05
     0.821331	-1.153971e-05
     0.822924	-1.084147e-05
     0.824517	-1.021919e-05
     0.826109	-9.829319e-06
     0.827702	-9.365580e-06
     0.829189	-9.038317e-06
     0.830675	-8.792926e-06
     0.832056	-8.455659e-06
     0.833436	-8.247769e-06
     0.834816	-7.952871e-06
     0.836082	-7.634660e-06
     0.837347	-7.348450e-06
     0.838612	-7.109111e-06
     0.839877	-6.904051e-06
     0.841143	-6.709262e-06
     0.842408	-6.499174e-06
     0.843673	-5.405114e-06
     0.844939	-4.993260e-06
     0.846204	-4.978207e-06
     0.847469	-4.871754e-06
     0.848735	-3.868089e-06
         0.85	-3.549406e-06
     0.851389	-3.511137e-06
     0.852908	-3.328021e-06
     0.854532	-2.318633e-06
     0.856156	-1.849265e-06
      0.85778	-1.803559e-06
     0.859343	-9.082216e-07
     0.860907	-4.126463e-08
     0.862411	9.995858e-09
     0.863914	5.064507e-07
     0.865418	1.282054e-06
     0.866921	1.846074e-06
     0.868496	2.557020e-06
     0.870072	3.235677e-06
