t,water_level
0.0,0.120344651459
0.05,0.120356941833
0.1,0.120324579879
0.15,0.12023113711
0.2,0.120122151942
0.25,0.120041284567
0.3,0.12001807104
0.35,0.12007315792
0.4,0.120178362352
0.45,0.120279949192
0.5,0.120339375761
0.55,0.120337494489
0.6,0.120269357869
0.65,0.120140980893
0.7,0.119977453549
0.75,0.11981499415
0.8,0.119687690087
0.85,0.119626967264
0.9,0.119652942859
0.95,0.119767385984
1.0,0.119943064847
1.05,0.120136709062
1.1,0.120307502985
1.15,0.120426422273
1.2,0.120504577778
1.25,0.12069503273
1.3,0.12180548524
1.35,0.127753298841
1.4,0.138484100244
1.45,0.151451480706
1.5,0.16445821551
1.55,0.177873055388
1.6,0.189986224494
1.65,0.201550907336
1.7,0.210732502919
1.75,0.218154329236
1.8,0.22383079474
1.85,0.229178588915
1.9,0.233648133709
1.95,0.237011136966
2.0,0.239168331026
2.05,0.239876560262
2.1,0.239384823495
2.15,0.237788548653
2.2,0.234968308963
2.25,0.231888586385
2.3,0.228606521873
2.35,0.225069672576
2.4,0.221922363781
2.45,0.21882045782
2.5,0.21597285896
2.55,0.213596482189
2.6,0.211893467772
2.65,0.210320737175
2.7,0.208400208677
2.75,0.206618413596
2.8,0.20482035054
2.85,0.203174188945
2.9,0.201639540809
2.95,0.200326283932
3.0,0.199027102893
