t,static_Pressure
0.0,0.0
0.05,-0.00312294182368
0.1,0.0384071655571
0.15,-0.154730916023
0.2,-0.244433909655
0.25,0.256094187498
0.3,0.0100887566805
0.35,0.00439273146912
0.4,0.021986104548
0.45,0.00504115689546
0.5,-0.00998996477574
0.55,-0.0829867720604
0.6,-0.0862163230777
0.65,-0.0747858062387
0.7,-0.0326291918755
0.75,0.00763652427122
0.8,-0.0167360212654
0.85,0.156159341335
0.9,0.0363305322826
0.95,0.0240325797349
1.0,0.0222919434309
1.05,-0.0119194807485
1.1,-0.0116336354986
1.15,-0.0197194032371
1.2,0.0519885867834
1.25,0.165007889271
1.3,1.79436886311
1.35,15.287194252
1.4,27.4780292511
1.45,30.310962677
1.5,28.5876102448
1.55,24.6118030548
1.6,19.7297134399
1.65,15.9333343506
1.7,12.7948026657
1.75,9.47913169861
1.8,6.10063505173
1.85,3.83567380905
1.9,1.99817156792
1.95,0.90553689003
2.0,-0.0610604770482
2.05,-0.267917096615
2.1,-0.678659498692
2.15,-1.01268815994
2.2,-1.39056527615
2.25,-1.87025928497
2.3,-2.00616312027
2.35,-1.71622371674
2.4,-1.30528724194
2.45,-1.03475987911
2.5,-0.816245317459
2.55,-0.530549407005
2.6,-0.576967358589
2.65,-0.537916660309
2.7,-0.329632282257
2.75,-0.375558227301
2.8,-0.490579068661
2.85,-0.392931967974
2.9,-0.375221550465
2.95,-0.210631459951
3.0,-0.35349842906
