t,water_level
0.0,0.120275147934
0.05,0.120282859219
0.1,0.120280471288
0.15,0.120277809871
0.2,0.120306309122
0.25,0.120364491636
0.3,0.120424265009
0.35,0.120470141175
0.4,0.120507652596
0.45,0.120555313826
0.5,0.120619619456
0.55,0.120692456326
0.6,0.120746101603
0.65,0.120759034245
0.7,0.120723782904
0.75,0.120659487385
0.8,0.120596549147
0.85,0.120565876443
0.9,0.120593098385
0.95,0.120691542062
1.0,0.120844363132
1.05,0.121015261876
1.1,0.121164394449
1.15,0.121266726677
1.2,0.121343850866
1.25,0.121597348525
1.3,0.12306839823
1.35,0.129347336983
1.4,0.139849863809
1.45,0.151738978046
1.5,0.164923810948
1.55,0.177790574246
1.6,0.189740492342
1.65,0.201181289824
1.7,0.209740968231
1.75,0.216785403137
1.8,0.223042125051
1.85,0.228657434685
1.9,0.2332626107
1.95,0.236617480235
2.0,0.23864458085
2.05,0.239315149552
2.1,0.238959779272
2.15,0.237296764504
2.2,0.234712851413
2.25,0.231605668466
2.3,0.228174494517
2.35,0.224781817466
2.4,0.221433828413
2.45,0.218179855382
2.5,0.215390343337
2.55,0.213076611893
2.6,0.21119928872
2.65,0.209490104712
2.7,0.207749944794
2.75,0.206012614556
2.8,0.204462749428
2.85,0.203086467004
2.9,0.201794297613
2.95,0.200630620638
3.0,0.199395416704
